Currency Matrix,,,,,,,,,,
,,,,,,,,,,
,USD,EUR,GBP,CNY,CHF,JPY,AUD,CAD,HKD,SGD
USD,-,0.8314,0.7179,6.4952,0.9176,108.1650,1.2902,1.2485,7.7633,1.3284
EUR,1.2029,-,0.8636,7.8128,1.1037,130.1060,1.5520,1.5017,9.3381,1.5979
GBP,1.3930,1.1580,-,9.0475,1.2781,150.6680,1.7973,1.7390,10.8138,1.8504
CNY,0.1540,0.1280,0.1105,-,0.1413,16.6531,0.1986,0.1922,1.1952,0.2045
CHF,1.0899,0.9060,0.7824,7.0789,-,117.8850,1.4062,1.3606,8.4609,1.4478
JPY,0.0092,0.0077,0.0066,0.0600,0.0085,-,0.0119,0.0115,0.0718,0.0123
AUD,0.7751,0.6443,0.5564,5.0341,0.7111,83.8333,-,0.9676,6.0169,1.0296
CAD,0.8010,0.6659,0.5750,5.2026,0.7350,86.6394,1.0335,-,6.2183,1.0640
HKD,0.1288,0.1071,0.0925,0.8367,0.1182,13.9330,0.1662,0.1608,-,0.1711
SGD,0.7528,0.6258,0.5404,4.8895,0.6907,81.4250,0.9713,0.9398,5.8441,-